in_DA,in_bal,out_DA,out_bal,DA_error,bal_error
22232.83409751875,3939.8026108087497,22163.003252865627,2996.620705302083,0.31408881272997985,23.939826399400587
22241.787416345833,4290.762019162291,21713.907450702085,3269.1084069684375,2.373370250161642,23.810540123903596
22974.968780187497,3355.0607006370833,22128.905075875,2951.2005416497914,3.6825456104301635,12.037342838852485
21782.09027572083,4022.4373503791667,21194.825056952082,4155.16992038302,2.696092116665855,-3.299804532476855
22000.609149189586,4678.878017619583,21016.497438436458,3890.5854521639585,4.473111194693347,16.847897348191072
20614.754486372916,3685.902934130624,20773.251369813544,5324.640101575209,-0.7688516666322668,-44.45958552706993
22566.270214000004,3981.801059732708,22042.063355906248,2931.721083371979,2.322966325948452,26.371984953743997
22021.465259475,4223.396222368125,21228.8692188875,3901.273461790625,3.59919756132702,7.627102540639213
22711.96361939375,4057.0942317237505,21885.04097883438,2979.6652686543753,3.64091213959705,26.55666596660745
21036.7243393625,3897.0724966943744,20919.8378370375,4861.963184657917,0.5556307172133729,-24.75937229245785
