Column1,Column2,Column3
coef1,coef2,obj_function
0.85,1.2,677793.9207854456
0.86,1.2,677718.7060355679
0.87,1.2,677887.4974106834
0.88,1.2,678056.2887858051
0.89,1.2,678225.0801609285
0.9,1.2,678393.8715360459
0.91,1.2,678601.6792611665
0.92,1.2,679018.0754862877
0.93,1.2,679512.002961408
0.94,1.2,680585.1680365291
0.95,1.2,682735.4256616494
