Column1,Column2,Column3,Column4,Column5,Column6
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.1,20.1,20.1,20.1,20.1,20.1
20.10000000000001,20.100000000000005,20.10000000000001,20.100000000000005,20.100000000000005,20.100000000000005
20.1,20.1,20.1,20.1,20.1,20.1
22.5,22.500000000000004,22.5,22.500000000000004,22.500000000000004,22.5
22.5,22.500000000000004,22.5,22.500000000000004,22.500000000000004,22.5
22.5,22.500000000000004,22.5,22.5,22.5,22.5
22.499999999999993,22.49999999999999,22.499999999999993,22.5,22.500000000000004,22.500000000000004
22.499999999999993,22.49999999999999,22.499999999999993,22.5,22.500000000000004,22.500000000000004
22.499999999999993,22.49999999999999,22.499999999999993,22.5,22.500000000000004,22.500000000000004
22.5,22.5,22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5,22.5,22.5
22.5,22.5,22.5,22.5,22.5,22.5
22.499999999999993,22.49999999999999,22.499999999999993,22.5,22.500000000000004,22.500000000000004
22.499999999999993,22.49999999999999,22.499999999999993,22.5,22.500000000000004,22.500000000000004
20.1,20.1,20.100000000000005,20.1,20.1,20.1
20.1,20.1,20.1,20.099999999999998,20.1,20.099999999999998
20.1,20.1,20.1,20.1,20.1,20.1
