Column1,Column2,Column3,Column4
alpha,beta,CVar,obj_function
0.9,0.0,74728.189188,678393.8715360459
0.9,0.1,127338.83103974999,623288.3674864158
0.9,0.2,127338.83103974999,568182.863436789
0.9,0.30000000000000004,127338.83103974999,513077.3593871575
0.9,0.4,131113.47603975,458258.330737527
0.9,0.5,135336.43353974994,404149.4377878992
0.9,0.6000000000000001,135995.66326712572,350463.7392729827
0.9,0.7000000000000001,135995.66326712572,296846.72027151816
0.9,0.8,135995.66326712572,243229.7012700537
0.9,0.9,136060.30989719997,189635.12203608442
0.9,1.0,136060.30989719997,136060.3098972
