Column1,Column2,Column3,Column4
alpha,beta,CVar,obj_function
0.8,0.0,74728.189188,678393.8715360459
0.8,0.1,178462.25881537507,628400.7102639783
0.8,0.2,178462.25881537507,578407.5489919143
0.8,0.30000000000000004,178462.25881537507,528414.3877198449
0.8,0.4,178462.25881537507,478421.2264477764
0.8,0.5,178462.25881537507,428428.0651757113
0.8,0.6000000000000001,178462.25881537507,378434.9039036438
0.8,0.7000000000000001,178462.25881537507,328441.7426315765
0.8,0.8,178462.25881537507,278448.5813595088
0.8,0.9,178462.25881537507,228455.42008744198
0.8,1.0,178462.25881537507,178462.25881537498
0.9,0.0,74728.189188,678393.8715360459
0.9,0.1,127338.83103974999,623288.3674864158
0.9,0.2,127338.83103974999,568182.863436789
0.9,0.30000000000000004,127338.83103974999,513077.3593871575
0.9,0.4,131113.47603975,458258.330737527
0.9,0.5,135336.43353974994,404149.4377878992
0.9,0.6000000000000001,135995.66326712572,350463.7392729827
0.9,0.7000000000000001,135995.66326712572,296846.72027151816
0.9,0.8,135995.66326712572,243229.7012700537
0.9,0.9,136060.30989719997,189635.12203608442
0.9,1.0,136060.30989719997,136060.3098972
0.95,0.0,74728.189188,678393.8715360459
0.95,0.1,96269.36987460006,620181.4213699003
0.95,0.2,96269.36987460006,561968.9712037588
0.95,0.30000000000000004,104387.95487460005,504288.8843876133
0.95,0.4,112002.32987460005,447885.99072146707
0.95,0.5,112002.32987460002,391905.3805803235
0.95,0.6000000000000001,113956.1338363178,336212.78249244526
0.95,0.7000000000000001,113956.1338363178,280648.6203284134
0.95,0.8,113956.1338363178,225084.45816438162
0.95,0.9,113956.1338363178,169520.29600034954
0.95,1.0,114245.35334249408,114245.35334249411
