CVaR,Expected profit
56416.46154,619395.9943
106852.783,630033.0914
108502.9529,640777.4457
110107.3431,651725.58
111104.1933,662824.3513
112586.6152,674014.0611
113694.9512,685322.8
114910.5605,696731.0028
115909.6929,708256.3104
116078.6745,719848.8321
116247.722,731462.4096
